Breed,2016 Rank,2015 Rank,2014 Rank,2013 Rank
Treeing Walker Coonhounds,137,117.0,112.0,101.0
Bedlington Terriers,138,146.0,140.0,137.0
Xoloitzcuintli,139,135.0,142.0,139.0
Beaucerons,140,142.0,145.0,152.0
Berger Picards,141,,,
Setters (Irish Red and White),142,148.0,155.0,145.0
Redbone Coonhounds,143,139.0,148.0,133.0
Spaniels (Clumber),144,134.0,143.0,131.0
Lakeland Terriers,145,141.0,149.0,134.0
German Pinschers,146,138.0,141.0,130.0
Spaniels (Field),147,145.0,137.0,140.0
Petits Bassets Griffons Vendeens,148,143.0,150.0,138.0
Affenpinschers,149,136.0,144.0,143.0
Spaniels (Irish Water),150,144.0,152.0,141.0
Greyhounds,151,147.0,147.0,148.0
Ibizan Hounds,152,160.0,159.0,151.0
Icelandic Sheepdogs,153,140.0,146.0,142.0
Scottish Deerhounds,154,152.0,157.0,165.0
Sealyham Terriers,155,158.0,169.0,158.0
Spaniels (American Water),156,157.0,160.0,144.0
Wirehaired Vizslas,157,156.0,107.0,
Plotts,158,149.0,154.0,149.0
Pulik,159,154.0,151.0,136.0
Portuguese Podengo Pequenos,160,153.0,166.0,153.0
Entlebucher Mountain Dogs,161,159.0,153.0,155.0
Spanish Water Dogs,162,167.0,113.0,
Swedish Vallhunds,163,155.0,158.0,147.0
Retrievers (Curly-Coated),164,151.0,163.0,163.0
Kuvaszok,165,150.0,161.0,150.0
Otterhounds,166,180.0,179.0,172.0
Dandie Dinmont Terriers,167,172.0,167.0,168.0
Pharaoh Hounds,168,171.0,164.0,160.0
Polish Lowland Sheepdogs,169,164.0,170.0,157.0
American English Coonhounds,170,166.0,156.0,146.0
Lowchen,171,161.0,165.0,154.0
Spaniels (Sussex),172,173.0,175.0,162.0
Finnish Lapphunds,173,169.0,173.0,171.0
Norwegian Buhunds,174,165.0,172.0,166.0
Chinooks,175,177.0,171.0,156.0
Pyrenean Shepherds,176,176.0,178.0,169.0
Komondorok,177,163.0,168.0,159.0
Skye Terriers,178,175.0,177.0,161.0
Finnish Spitz,179,178.0,174.0,170.0
Glen of Imaal Terriers,180,168.0,162.0,167.0
Canaan Dogs,181,170.0,176.0,164.0
Cesky Terriers,182,179.0,182.0,174.0
Cirnechi dell'Etna,183,162.0,117.0,
Bergamasco,184,174.0,96.0,
Sloughis,185,,,
Harriers,186,183.0,181.0,173.0
English Foxhounds,187,184.0,183.0,177.0
Norwegian Lundehunds,188,182.0,184.0,175.0
American Foxhounds,189,181.0,180.0,176.0
